,word,translation,meaning
352,ken,know,"{'Noun': ['the fact of being aware of information that is known to few people'], 'Verb': ['be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about', 'know how to do or perform something', 'be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt', 'be familiar or acquainted with a person or an object', 'have firsthand knowledge of states, situations, emotions, or sensations', 'accept (someone', 'have fixed in the mind', 'have sexual intercourse with', 'know the nature or character of', 'be able to distinguish, recognize as being different', 'perceive as familiar']}"
353,keu,cue,"{'Noun': [""an actor's line that immediately precedes and serves as a reminder for some action or speech"", 'evidence that helps to solve a problem', 'a stimulus that provides information about what to do', 'sports implement consisting of a tapering rod used to strike a cue ball in pool or billiards'], 'Verb': ['assist (somebody acting or reciting']}"
354,kg,kg,"{'Noun': [""one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites""]}"
355,ki,ki,"{'Noun': ['the circulating life energy that in Chinese philosophy is thought to be inherent in all things; in traditional Chinese medicine the balance of negative and positive forms in the body is believed to be essential for good health', 'goddess personifying earth; counterpart of Akkadian Aruru']}"
356,kid,kid,"{'Noun': ['a young person of either sex', 'soft smooth leather from the hide of a young goat', 'English dramatist (1558-1594', 'a human offspring (son or daughter', 'young goat'], 'Verb': ['tell false information to for fun', 'be silly or tease one another']}"
357,kik,kik,
358,kil,cold,"{'Noun': ['a mild viral infection involving the nose and respiratory passages (but not the lungs', 'the absence of heat', 'the sensation produced by low temperatures'], 'Adjective': ['having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration', 'extended meanings; especially of psychological coldness; without human warmth or emotion', 'having lost freshness through passage of time', '(color', 'marked by errorless familiarity', 'lacking originality or spontaneity; no longer new', 'so intense as to be almost uncontrollable', 'sexually unresponsive', 'without compunction or human feeling', 'feeling or showing no enthusiasm', 'unconscious from a blow or shock or intoxication', 'of a seeker; far from the object sought', 'lacking the warmth of life']}"
359,kim,Kim,
360,kin,chin,"{'Noun': ['the protruding part of the lower jaw', 'Kamarupan languages spoken in western Burma and Bangladesh and easternmost India'], 'Verb': [""raise oneself while hanging from one's hands until one's chin is level with the support bar""]}"
361,kip,chicken,"{'Noun': ['the flesh of a chicken used for food', 'a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl', 'a person who lacks confidence, is irresolute and wishy-washy', 'a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops'], 'Adjective': ['easily frightened']}"
362,kir,kir,
363,kit,kit,"{'Noun': ['a case for containing a set of articles', 'gear consisting of a set of articles or tools for a specified purpose', 'young of any of various fur-bearing animals'], 'Verb': ['supply with a set of articles or tools']}"
364,km,km,{'Noun': ['a metric unit of length equal to 1000 meters (or 0.621371 miles']}
365,km²,km²,
366,koe,cow,"{'Noun': [""mature female of mammals of which the male is called `bull'"", 'a large unpleasant woman'], 'Verb': ['subdue, restrain, or overcome by affecting with a feeling of awe; frighten (as with threats']}"
367,kok,cook,"{'Noun': ['someone who cooks food', 'English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779'], 'Verb': ['prepare a hot meal', 'prepare for eating by applying heat', 'transform and make suitable for consumption by heating', 'tamper, with the purpose of deception', 'transform by heating']}"
368,kol,col,{'Noun': ['a pass between mountain peaks']}
369,kom,come,"{'Noun': ['the thick white fluid containing spermatozoa that is ejaculated by the male genital tract'], 'Verb': ['move toward, travel toward something or somebody or approach something or somebody', 'reach a destination; arrive by movement or progress', 'come to pass; arrive, as in due course', 'reach or enter a state, relation, condition, use, or position', 'to be the product or result', 'be found or available', 'come forth', 'be a native of', 'extend or reach', 'exist or occur in a certain point in a series', 'cover a certain distance', 'come under, be classified or included', 'happen as a result', 'add up in number or quantity', 'develop into', 'be received', ""come to one's mind; suggest itself"", 'come from; be connected by a relationship of blood, for example', 'proceed or get along', 'experience orgasm', 'have a certain priority']}"
370,kon,could,
371,kop,cup,"{'Noun': ['a small open container usually used for drinking; usually has a handle', 'the quantity a cup will hold', 'any cup-shaped concavity', 'a United States liquid unit equal to 8 fluid ounces', 'cup-shaped plant organ', 'a punch served in a pitcher instead of a punch bowl', 'the hole (or metal container in the hole', 'a large metal vessel with two handles that is awarded as a trophy to the winner of a competition'], 'Verb': ['form into the shape of a cup', 'put into a cup', ""treat by applying evacuated cups to the patient's skin""]}"
372,kot,kot,
373,kou,cold,"{'Noun': ['a mild viral infection involving the nose and respiratory passages (but not the lungs', 'the absence of heat', 'the sensation produced by low temperatures'], 'Adjective': ['having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration', 'extended meanings; especially of psychological coldness; without human warmth or emotion', 'having lost freshness through passage of time', '(color', 'marked by errorless familiarity', 'lacking originality or spontaneity; no longer new', 'so intense as to be almost uncontrollable', 'sexually unresponsive', 'without compunction or human feeling', 'feeling or showing no enthusiasm', 'unconscious from a blow or shock or intoxication', 'of a seeker; far from the object sought', 'lacking the warmth of life']}"
374,kul,crap,"{'Noun': ['obscene terms for feces', 'obscene words for unacceptable behavior'], 'Verb': ['have a bowel movement']}"
375,kun,kun,
376,kus,kiss,"{'Noun': ['the act of caressing with the lips (or an instance thereof', 'a cookie made of egg whites and sugar', 'any of several bite-sized candies', 'a light glancing touch'], 'Verb': [""touch with the lips or press the lips (against someone's mouth or other body part"", 'touch lightly or gently']}"
377,kut,pussy,"{'Noun': ['obscene terms for female genitals', 'informal terms referring to a domestic cat'], 'Adjective': ['containing pus']}"
378,kán,can,"{'Noun': ['airtight sealed metal container for food or drink or paint etc.', 'the quantity contained in a can', 'a buoy with a round bottom and conical top', 'the fleshy part of the human body that you sit on', 'a plumbing fixture for defecation and urination', 'a room or building equipped with one or more toilets'], 'Verb': ['preserve in a can or tin', 'terminate the employment of; discharge from an office or position']}"
379,kür,freestyle,{'Noun': ['a race (as in swimming']}
380,la,la,"{'Noun': ['a white soft metallic element that tarnishes readily; occurs in rare earth minerals and is usually classified as a rare earth', 'a state in southern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War', 'the syllable naming the sixth (submediant']}"
